Designator,Mid X,Mid Y,Rotation,Layer
C1,245.024997,-120.274998,0.0,top
C10,239.075,-110.065,90.0,top
C11,227.095,-114.275,180.0,top
C12,241.345,-117.775,0.0,top
C13,227.225,-118.975,180.0,top
C14,234.825,-124.025,-90.0,top
C15,242.325,-112.025,0.0,top
C16,265.125,-41.575,180.0,top
C17,242.325,-110.775,0.0,top
C18,86.1,-109.8,160.0,top
C2,242.525,-120.275,180.0,top
C3,262.625,-41.575,0.0,top
C4,227.075,-102.525,180.0,top
C5,258.72,-48.85,180.0,top
C6,232.825,-110.045,90.0,top
C7,236.075,-124.025,-90.0,top
C8,237.825,-110.045,90.0,top
C9,234.075,-110.045,90.0,top
D10,288.725,-119.875,90.0,top
D100,61.6,-119.55,90.0,top
D106,42.6,-43.8,90.0,top
D107,42.6,-63.05,90.0,top
D108,42.6,-81.8,90.0,top
D109,42.6,-101.05,90.0,top
D110,42.6,-120.05,90.0,top
D116,23.6,-43.8,90.0,top
D117,23.35,-62.8,90.0,top
D118,23.6,-81.8,90.0,top
D119,23.35,-101.05,90.0,top
D120,23.6,-120.05,90.0,top
D16,269.325,-44.025,90.0,top
D17,269.325,-63.025,90.0,top
D18,269.575,-82.025,90.0,top
D19,269.325,-101.025,90.0,top
D20,269.525,-119.675,90.0,top
D26,250.575,-44.025,90.0,top
D27,250.075,-63.025,90.0,top
D28,250.575,-82.025,90.0,top
D29,250.325,-101.025,90.0,top
D30,250.525,-120.075,90.0,top
D36,231.575,-43.775,90.0,top
D37,231.325,-63.025,90.0,top
D38,231.575,-82.025,90.0,top
D39,231.075,-100.775,90.0,top
D40,213.125,-123.275,105.0,top
D46,212.325,-43.775,90.0,top
D47,212.075,-62.775,90.0,top
D48,212.325,-82.025,90.0,top
D49,212.075,-100.775,90.0,top
D50,195.725,-132.875,105.0,top
D56,193.325,-43.775,90.0,top
D57,193.075,-62.775,90.0,top
D58,193.325,-82.025,90.0,top
D59,193.075,-101.025,90.0,top
D6,288.325,-43.775,90.0,top
D60,178.325,-141.675,105.0,top
D61,118.85,-44.05,90.0,top
D62,118.85,-62.8,90.0,top
D63,118.6,-82.05,90.0,top
D64,118.85,-101.05,90.0,top
D65,134.85,-139.3,75.0,top
D7,288.325,-63.025,90.0,top
D71,99.85,-44.05,90.0,top
D72,99.6,-62.8,90.0,top
D73,99.6,-82.05,90.0,top
D74,99.6,-101.05,90.0,top
D75,116.85,-130.05,75.0,top
D8,288.575,-82.025,90.0,top
D86,80.85,-43.8,90.0,top
D87,80.6,-62.8,90.0,top
D88,80.85,-82.05,90.0,top
D89,80.6,-101.15,90.0,top
D9,288.325,-100.875,90.0,top
D90,99.35,-120.55,75.0,top
D96,61.6,-43.8,90.0,top
D97,61.6,-62.8,90.0,top
D98,61.6,-81.8,90.0,top
D99,61.6,-101.3,90.0,top
R1,301.225,-30.175,180.0,top
R10,88.15,-110.55,160.0,top
R2,224.325,-102.515,90.0,top
R3,223.075,-102.515,-90.0,top
R4,287.225,-29.875,180.0,top
R5,244.575,-118.275,-90.0,top
R6,235.325,-110.045,-90.0,top
R7,236.575,-110.045,-90.0,top
R8,178.575,-122.775,-165.0,top
R9,175.075,-123.775,15.0,top
SW1,195.575,-112.775,90.0,top
SW10,274.838088,-77.096989,180.0,bottom
SW11,274.838088,-96.096989,180.0,bottom
SW12,274.838088,-115.196989,180.0,bottom
SW13,255.738088,-38.896989,180.0,bottom
SW14,255.738088,-57.996989,180.0,bottom
SW15,255.738088,-76.996989,180.0,bottom
SW16,255.838088,-95.996989,180.0,bottom
SW17,255.748088,-115.136989,180.0,bottom
SW18,236.738088,-38.896989,180.0,bottom
SW19,236.738088,-57.996989,180.0,bottom
SW2,202.575,-112.775,90.0,top
SW20,236.738088,-76.996989,180.0,bottom
SW21,236.738088,-95.996989,180.0,bottom
SW22,216.938088,-117.096989,-165.0,bottom
SW23,217.638088,-38.896989,180.0,bottom
SW24,217.638088,-57.996989,180.0,bottom
SW25,217.638088,-76.996989,180.0,bottom
SW26,217.738088,-95.996989,180.0,bottom
SW27,199.405,-126.625,-165.0,bottom
SW28,198.638088,-38.896989,180.0,bottom
SW29,198.638088,-57.996989,180.0,bottom
SW3,293.848088,-38.936989,180.0,bottom
SW30,198.638088,-76.996989,180.0,bottom
SW31,198.638088,-96.096989,180.0,bottom
SW32,182.437372,-136.378553,15.0,bottom
SW33,124.178427,-38.921989,180.0,bottom
SW34,124.178427,-57.921989,180.0,bottom
SW35,124.178427,-77.021989,180.0,bottom
SW36,124.178427,-96.121989,180.0,bottom
SW37,141.203553,-136.662372,-15.0,bottom
SW38,105.078427,-38.921989,180.0,bottom
SW39,105.078427,-57.921989,180.0,bottom
SW4,293.838088,-57.996989,180.0,bottom
SW40,105.078427,-77.021989,180.0,bottom
SW41,105.078427,-96.121989,180.0,bottom
SW42,123.411297,-126.621989,165.0,bottom
SW43,86.078427,-38.921989,180.0,bottom
SW44,86.078427,-57.921989,180.0,bottom
SW45,86.078427,-77.021989,180.0,bottom
SW46,86.078427,-96.121989,180.0,bottom
SW47,105.778427,-117.121989,165.0,bottom
SW48,66.978427,-38.921989,180.0,bottom
SW49,67.078427,-57.921989,180.0,bottom
SW5,293.938088,-76.996989,180.0,bottom
SW50,66.978427,-77.021989,180.0,bottom
SW51,66.978427,-96.121989,180.0,bottom
SW52,66.978427,-115.121989,180.0,bottom
SW53,47.978427,-38.921989,180.0,bottom
SW54,47.978427,-57.921989,180.0,bottom
SW55,47.978427,-77.021989,180.0,bottom
SW56,47.978427,-96.121989,180.0,bottom
SW57,47.978427,-115.121989,180.0,bottom
SW58,28.878427,-38.921989,180.0,bottom
SW59,28.878427,-57.921989,180.0,bottom
SW6,293.838088,-96.096989,180.0,bottom
SW60,28.878427,-77.021989,180.0,bottom
SW61,28.878427,-96.121989,180.0,bottom
SW62,28.878427,-115.121989,180.0,bottom
SW7,293.938088,-115.096989,180.0,bottom
SW8,274.838088,-38.896989,180.0,bottom
SW9,274.838088,-57.996989,180.0,bottom
U1,226.075,-107.525,-90.0,top
U10,86.35,-116.35,-110.0,top
U2,263.875,-48.075,90.0,top
U3,233.075,-117.025,0.0,top
USB1,294.513088,-27.941213,180.0,top
USB2,175.246573,-117.566213,-165.0,top
USB3,147.569691,-117.522197,165.0,top
X1,243.775,-123.275,180.0,top
